SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_TERM_CODE,SSBSECT_CRN,SSRATTR_TERM_CODE,SSRATTR_CRN,SSRATTR_ATTR_CODE,SSRATTR_ACTIVITY_DATE
BOT,114L,202110,10301,202110,10301,100L,2020/02/18
BOT,117,202110,10302,202110,10302,A3,2020/02/18
BOT,117,202110,10302,202110,10302,CC,2020/02/18
BOT,117,202110,10302,202110,10302,MOIE,2020/02/18
BOT,230,202110,10309,202110,10309,A1,2020/02/18
BOT,230,202110,10309,202110,10309,MOID,2020/02/18
BOT,234,202110,10310,202110,10310,A3,2020/02/18
BOT,234,202110,10310,202110,10310,MOIB,2020/02/18
BOT,234,202110,10310,202110,10310,MOIE,2020/02/18
BOT,234,202110,10310,202110,10310,W,2020/02/18
BOT,493N,202110,10313,202110,10313,ADVS,2020/02/18
BOT,493N,202110,10313,202110,10313,FREE,2020/02/18
BOT,493N,202110,10313,202110,10313,W,2020/02/18
CHI,102,202110,10074,202110,10074,ACHI,2020/01/31
CHI,102,202110,10074,202110,10074,ECHI,2020/01/31
CHI,102,202110,10074,202110,10074,WLC,2020/01/31
CHI,202,202110,10075,202110,10075,ACHI,2020/01/31
CHI,202,202110,10075,202110,10075,INFL,2020/01/31
CHI,202,202110,10075,202110,10075,WLC,2020/01/31
CHI,302,202110,10076,202110,10076,ACHI,2020/01/31
CHI,302,202110,10076,202110,10076,INFL,2020/01/31
CHI,302,202110,10076,202110,10076,WLC,2020/01/31
CHI,412,202110,10077,202110,10077,MOIB,2020/01/31
CHI,412,202110,10077,202110,10077,MOIE,2020/01/31
CHI,412,202110,10077,202110,10077,W,2020/01/31
CHI,412,202110,10077,202110,10077,WLC,2020/01/31
CHI,414,202110,10537,202110,10537,MOIB,2020/03/16
CHI,414,202110,10537,202110,10537,MOIE,2020/03/16
CHI,414,202110,10537,202110,10537,W,2020/03/16
CHI,414,202110,10537,202110,10537,WLC,2020/03/16
CHI,416,202110,10582,202110,10582,WLC,2020/03/30
CHM,100,202110,10187,202110,10187,A1,2020/02/14
CHM,100,202110,10187,202110,10187,CC,2020/02/14
CHM,100,202110,10187,202110,10187,MOID,2020/02/14
